city,year,arrests,population
"Philadelphia, Pennsylvania",1880,44315,847170
"Brooklyn, New York",1880,26785,566663
"Chicago, Illinois",1880,28480,503185
"Boston, Massachusetts",1880,24884,362839
"Baltimore, Maryland",1880,22021,332313
"St. Louis, Missouri",1880,14160,350518
"Cincinnati, Ohio",1880,14592,255139
"San Francisco, California",1880,21063,233959
"Cleveland, Ohio",1880,7432,160146
"Buffalo, New York",1880,9012,155134
"Washington, DC",1880,13558,147293
"Newark, New Jersey",1880,5042,136508
"Louisville, Kentucky",1880,4712,123758
"Detroit, Michigan",1880,4284,116340
"Milwaukee, Wisconsin",1880,3141,115587
"Providence, Rhode Island",1880,6506,104857
"Rochester, New York",1880,NA,89366
"Richmond, Virginia",1880,3946,63600
"New Haven, Connecticut",1880,4611,62882
"Lowell, Massachusetts",1880,2776,59475
"New York, New York",1881,67135,1237200
"Philadelphia, Pennsylvania",1881,45129,867149
"Brooklyn, New York",1881,28889,590631
"Chicago, Illinois",1881,31713,562852
"Boston, Massachusetts",1881,28521,371403
"St. Louis, Missouri",1881,15443,360643
"Baltimore, Maryland",1881,24717,342526
"Cincinnati, Ohio",1881,13192,259316
"San Francisco, California",1881,23011,240463
"Cleveland, Ohio",1881,7465,170267
"Buffalo, New York",1881,9086,165187
"Washington, DC",1881,13942,151457
"Newark, New Jersey",1881,5726,140960
"Louisville, Kentucky",1881,6420,127495
"Detroit, Michigan",1881,4610,125294
"Providence, Rhode Island",1881,7741,107586
"Rochester, New York",1881,NA,93819
"Richmond, Virginia",1881,4313,65379
"New Haven, Connecticut",1881,4848,65198
"Lowell, Massachusetts",1881,3144,61297
"New York, New York",1882,67729,1268100
"Philadelphia, Pennsylvania",1882,46130,887129
"Brooklyn, New York",1882,27610,614599
"Chicago, Illinois",1882,32800,622518
"Boston, Massachusetts",1882,30777,379967
"St. Louis, Missouri",1882,18555,370768
"Baltimore, Maryland",1882,23902,352738
"Cincinnati, Ohio",1882,15539,263493
"San Francisco, California",1882,25969,246967
"Cleveland, Ohio",1882,6741,180387
"Buffalo, New York",1882,10258,175240
"Washington, DC",1882,14552,155621
"Newark, New Jersey",1882,5715,145412
"Louisville, Kentucky",1882,7466,131232
"Detroit, Michigan",1882,5148,134247
"Providence, Rhode Island",1882,7033,110315
"Rochester, New York",1882,NA,98272
"Richmond, Virginia",1882,4762,67158
"New Haven, Connecticut",1882,5642,67515
"Lowell, Massachusetts",1882,2849,63119
"New York, New York",1883,70701,1299000
"Philadelphia, Pennsylvania",1883,45612,907108
"Brooklyn, New York",1883,26819,638567
"Chicago, Illinois",1883,37187,682184
"Boston, Massachusetts",1883,30677,388530
"St. Louis, Missouri",1883,18312,380894
"Baltimore, Maryland",1883,24355,362951
"Cincinnati, Ohio",1883,13255,267670
"San Francisco, California",1883,24149,253470
"Cleveland, Ohio",1883,7254,190508
"Buffalo, New York",1883,9349,185293
"Washington, DC",1883,15607,159785
"Newark, New Jersey",1883,5504,149865
"Louisville, Kentucky",1883,8746,134969
"Detroit, Michigan",1883,6322,143201
"Milwaukee, Wisconsin",1883,3667,142251
"Providence, Rhode Island",1883,6527,113044
"Rochester, New York",1883,NA,102725
"Richmond, Virginia",1883,4566,68936
"New Haven, Connecticut",1883,5789,69831
"Lowell, Massachusetts",1883,3257,64941
"New York, New York",1884,70254,1329900
"Philadelphia, Pennsylvania",1884,46767,927088
"Brooklyn, New York",1884,26119,662535
"Chicago, Illinois",1884,39434,741851
"Boston, Massachusetts",1884,31200,397094
"St. Louis, Missouri",1884,19208,391019
"Baltimore, Maryland",1884,26177,373163
"Cincinnati, Ohio",1884,12774,271847
"San Francisco, California",1884,25591,259974
"Cleveland, Ohio",1884,7271,200629
"Buffalo, New York",1884,10588,195346
"Washington, DC",1884,17934,163949
"Newark, New Jersey",1884,5293,154317
"Louisville, Kentucky",1884,8176,138706
"Detroit, Michigan",1884,7419,152154
"Milwaukee, Wisconsin",1884,3237,151139
"Providence, Rhode Island",1884,6422,115773
