"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06"
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-05-30",,,,"0.00","0.0","0.0","75","45","59",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-05-31",,,,"0.00","0.0","0.0","78","50","67",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-01",,,,"0.00","0.0","0.0","85","56","61",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-02",,,,"0.02","0.0","0.0","81","53","69",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-03",,,,"0.00","0.0","0.0","72","52","52",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-04",,,,"0.01","0.0","0.0","69","42","48",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-05",,,,"0.00","0.0","0.0","60","47","54",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-06",,,,"0.29","0.0","0.0","55","49","49",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-07",,,,"0.78","0.0","0.0","69","44","52",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-08",,,,"0.02","0.0","0.0","71","41","68",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-09",,,,"0.00","0.0","0.0","73","55","60",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-10",,,,"0.00","0.0","0.0","88","55","67",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-11",,,,"0.00","0.0","0.0","67","49","58",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-12",,,,"0.09","0.0","0.0","59","48","52",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-13",,,,"0.00","0.0","0.0","63","52","63",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-14",,,,"0.32","0.0","0.0","63","48","56",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-15",,,,"0.02","0.0","0.0","77","54","76",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-16",,,,"0.00","0.0","0.0","87","66","84",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-17",,,,"0.75","0.0","0.0","87","60","67",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-06-18",,,,"0.01","0.0","0.0","72","53","64",,,,,
